"행정구역","2024년03월_계_총세대수","2024년03월_계_연령구간세대수","2024년03월_계_0~9세","2024년03월_계_10~19세","2024년03월_계_20~29세","2024년03월_계_30~39세","2024년03월_계_40~49세","2024년03월_계_50~59세","2024년03월_계_60~69세","2024년03월_계_70~79세","2024년03월_계_80~89세","2024년03월_계_90~99세","2024년03월_계_100세 이상","2024년03월_남_총세대수","2024년03월_남_연령구간세대수","2024년03월_남_0~9세","2024년03월_남_10~19세","2024년03월_남_20~29세","2024년03월_남_30~39세","2024년03월_남_40~49세","2024년03월_남_50~59세","2024년03월_남_60~69세","2024년03월_남_70~79세","2024년03월_남_80~89세","2024년03월_남_90~99세","2024년03월_남_100세 이상","2024년03월_여_총세대수","2024년03월_여_연령구간세대수","2024년03월_여_0~9세","2024년03월_여_10~19세","2024년03월_여_20~29세","2024년03월_여_30~39세","2024년03월_여_40~49세","2024년03월_여_50~59세","2024년03월_여_60~69세","2024년03월_여_70~79세","2024년03월_여_80~89세","2024년03월_여_90~99세","2024년03월_여_100세 이상"
"서울특별시  (1100000000)","2,006,402","2,006,402","461","13,233","452,442","458,252","252,321","252,342","278,900","180,403","102,227","15,324","497","961,649","961,649","238","5,158","193,777","252,938","143,028","147,578","132,216","60,125","23,599","2,864","128","1,044,753","1,044,753","223","8,075","258,665","205,314","109,293","104,764","146,684","120,278","78,628","12,460","369"
"서울특별시 종로구 (1111000000)","38,083","38,083","13","345","8,989","7,278","4,364","5,294","5,639","3,496","2,256","387","22","18,827","18,827","6","122","3,949","3,942","2,345","3,157","3,129","1,452","629","87","9","19,256","19,256","7","223","5,040","3,336","2,019","2,137","2,510","2,044","1,627","300","13"
"서울특별시 중구 (1114000000)","34,935","34,935","6","260","6,868","7,847","4,436","4,709","5,220","3,306","1,947","328","8","17,474","17,474","3","101","2,908","4,228","2,472","2,917","2,904","1,389","492","59","1","17,461","17,461","3","159","3,960","3,619","1,964","1,792","2,316","1,917","1,455","269","7"
"서울특별시 용산구 (1117000000)","52,693","52,693","27","255","9,499","14,304","7,553","7,000","6,677","4,081","2,741","537","19","25,357","25,357","19","59","3,689","7,733","4,174","4,019","3,508","1,408","647","94","7","27,336","27,336","8","196","5,810","6,571","3,379","2,981","3,169","2,673","2,094","443","12"
"서울특별시 성동구 (1120000000)","59,351","59,351","19","664","14,213","12,778","7,387","7,663","8,189","4,959","3,078","392","9","29,492","29,492","11","276","6,881","7,045","4,125","4,619","4,187","1,616","655","73","4","29,859","29,859","8","388","7,332","5,733","3,262","3,044","4,002","3,343","2,423","319","5"
"서울특별시 광진구 (1121500000)","85,745","85,745","8","524","24,786","20,952","9,955","9,888","10,176","5,698","3,253","485","20","41,152","41,152","4","189","10,733","11,232","5,464","5,807","4,930","1,965","735","86","7","44,593","44,593","4","335","14,053","9,720","4,491","4,081","5,246","3,733","2,518","399","13"
"서울특별시 동대문구 (1123000000)","87,325","87,325","13","1,337","25,835","15,700","9,190","10,364","11,862","7,749","4,666","591","18","43,923","43,923","6","506","11,843","9,039","5,565","6,579","6,326","2,793","1,152","109","5","43,402","43,402","7","831","13,992","6,661","3,625","3,785","5,536","4,956","3,514","482","13"
"서울특별시 중랑구 (1126000000)","85,618","85,618","20","265","12,842","15,898","10,742","14,445","16,629","9,263","4,861","638","15","42,679","42,679","8","93","5,184","8,785","6,506","8,998","8,508","3,299","1,177","117","4","42,939","42,939","12","172","7,658","7,113","4,236","5,447","8,121","5,964","3,684","521","11"
"서울특별시 성북구 (1129000000)","84,034","84,034","19","1,471","22,346","14,081","9,208","10,731","11,937","8,143","5,310","768","20","38,767","38,767","9","509","9,699","8,000","5,164","6,160","5,413","2,520","1,131","159","3","45,267","45,267","10","962","12,647","6,081","4,044","4,571","6,524","5,623","4,179","609","17"
"서울특별시 강북구 (1130500000)","66,630","66,630","9","426","10,501","9,617","7,839","10,903","12,820","8,812","5,056","634","13","31,729","31,729","6","96","4,141","5,623","4,833","6,466","6,335","2,924","1,183","118","4","34,901","34,901","3","330","6,360","3,994","3,006","4,437","6,485","5,888","3,873","516","9"
