"행정구역별",2022,2022,2022
"행정구역별",인구십만명당 문화기반시설수<br>(A÷B×100000) (개),문화기반시설수<br>(A) (개),주민등록인구<br>(B) (명)
"서울특별시",4.8,449,9428372
"종로구",48.1,68,141379
"중구",25.7,31,120437
"용산구",7.8,17,218650
"성동구",5.0,14,281000
"광진구",3.9,13,337416
"동대문구",4.2,14,336644
"중랑구",2.1,8,385318
"성북구",6.0,26,430397
"강북구",4.1,12,293660
"도봉구",4.5,14,311694
"노원구",3.8,19,503734
"은평구",3.4,16,466746
"서대문구",4.9,15,306337
"마포구",3.6,13,364638
"양천구",2.7,12,440881
"강서구",2.8,16,569166
"구로구",4.6,18,395315
"금천구",3.0,7,229642
"영등포구",2.9,11,375675
"동작구",2.4,9,380596
"관악구",2.1,10,486752
"서초구",5.7,23,404325
"강남구",5.3,28,529102
"송파구",3.2,21,658801
"강동구",3.0,14,460067
