"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"강동구","명일1동",계,25415,942,1111,1108,1235,1332,1449,1812,1979,2209,1945,2186,1732,1920,1856,1148,738,392,218,75,23,5,25383,920,1112,1104,1241,1306,1445,1794,1985,2234,1926,2169,1743,1875,1870,1180,755,409,210,76,24,5
"강동구","명일1동",한국인,25319,941,1105,1107,1235,1329,1424,1800,1966,2200,1940,2180,1725,1919,1854,1146,737,392,217,75,23,4,25278,918,1106,1103,1240,1301,1419,1780,1970,2224,1920,2164,1737,1874,1868,1178,754,409,209,76,24,4
"강동구","명일1동",등록외국인,96,1,6,1,0,3,25,12,13,9,5,6,7,1,2,2,1,0,1,0,0,1,105,2,6,1,1,5,26,14,15,10,6,5,6,1,2,2,1,-,1,-,-,1
"강동구","명일2동",계,17253,303,650,1174,1225,1004,1157,976,906,1395,1583,1538,1150,1307,1219,788,452,226,118,59,20,3,17101,281,654,1169,1211,993,1145,944,876,1398,1549,1531,1148,1275,1234,806,463,226,121,56,18,3
"강동구","명일2동",한국인,17187,302,649,1173,1225,1002,1142,961,897,1390,1580,1532,1147,1305,1217,788,451,226,118,59,20,3,17036,280,653,1169,1211,991,1128,930,866,1393,1546,1526,1146,1273,1232,806,462,226,121,56,18,3
"강동구","명일2동",등록외국인,66,1,1,1,0,2,15,15,9,5,3,6,3,2,2,0,1,0,0,0,0,0,65,1,1,-,-,2,17,14,10,5,3,5,2,2,2,-,1,-,-,-,-,-
"강동구","고덕1동",계,24040,573,1681,2200,1626,994,1023,1024,1471,2763,2556,1987,1408,1569,1304,806,484,305,158,83,21,4,24070,557,1632,2219,1681,989,997,1011,1458,2750,2575,1999,1440,1539,1327,818,494,312,163,81,25,3
"강동구","고덕1동",한국인,23952,570,1678,2200,1625,989,1004,1006,1460,2748,2551,1981,1408,1568,1304,806,483,305,158,83,21,4,23985,554,1629,2218,1680,982,984,995,1447,2732,2570,1994,1440,1538,1327,818,493,312,163,81,25,3
"강동구","고덕1동",등록외국인,88,3,3,0,1,5,19,18,11,15,5,6,0,1,0,0,1,0,0,0,0,0,85,3,3,1,1,7,13,16,11,18,5,5,-,1,-,-,1,-,-,-,-,-
"강동구","고덕2동",계,22928,949,1459,1360,990,938,1183,1464,2027,2551,1889,1776,1452,1607,1392,848,539,289,155,47,12,1,22942,946,1462,1365,990,916,1166,1502,2008,2598,1846,1773,1464,1577,1390,873,548,304,151,50,12,1
"강동구","고덕2동",한국인,22759,946,1458,1360,989,929,1163,1431,1988,2529,1880,1765,1446,1596,1390,847,538,289,155,47,12,1,22773,943,1461,1365,989,909,1143,1470,1971,2576,1835,1763,1457,1566,1388,872,547,304,151,50,12,1
"강동구","고덕2동",등록외국인,169,3,1,0,1,9,20,33,39,22,9,11,6,11,2,1,1,0,0,0,0,0,169,3,1,-,1,7,23,32,37,22,11,10,7,11,2,1,1,-,-,-,-,-
"강동구","암사2동",계,14963,599,566,514,488,712,1059,1309,1405,1263,1062,1203,1044,1120,930,664,519,309,134,51,11,1,14950,583,561,510,480,689,1095,1279,1383,1284,1043,1204,1074,1115,949,655,525,318,137,54,11,1
"강동구","암사2동",한국인,14894,599,565,512,486,707,1049,1295,1391,1256,1058,1198,1043,1119,928,664,518,309,134,51,11,1,14874,582,559,508,478,685,1082,1264,1369,1277,1039,1197,1073,1114,947,655,524,318,137,54,11,1
"강동구","암사2동",등록외국인,69,0,1,2,2,5,10,14,14,7,4,5,1,1,2,0,1,0,0,0,0,0,76,1,2,2,2,4,13,15,14,7,4,7,1,1,2,-,1,-,-,-,-,-
"강동구","암사3동",계,17380,523,1036,1087,840,865,928,901,1210,1666,1513,1425,1198,1272,1135,791,474,314,131,50,14,7,17220,519,995,1100,829,841,936,865,1186,1667,1476,1397,1211,1251,1138,786,495,321,129,55,16,7
"강동구","암사3동",한국인,17334,523,1036,1087,840,864,922,895,1203,1658,1507,1418,1195,1272,1134,790,474,314,131,50,14,7,17172,519,995,1100,828,840,929,861,1178,1659,1470,1390,1208,1250,1137,785,495,321,129,55,16,7
"강동구","암사3동",등록외국인,46,0,0,0,0,1,6,6,7,8,6,7,3,0,1,1,0,0,0,0,0,0,48,-,-,-,1,1,7,4,8,8,6,7,3,1,1,1,-,-,-,-,-,-
"강동구","천호1동",계,26396,571,617,719,826,1301,2060,2218,1736,1926,1846,2182,2227,2469,2152,1435,1030,688,269,96,23,5,26265,561,578,723,806,1279,2051,2202,1726,1925,1811,2157,2251,2434,2169,1453,1046,698,276,90,25,4
"강동구","천호1동",한국인,26113,569,609,713,822,1286,2026,2185,1696,1896,1828,2147,2200,2452,2143,1432,1028,688,269,96,23,5,25971,558,570,715,803,1262,2018,2167,1685,1891,1792,2121,2221,2420,2161,1450,1044,698,276,90,25,4
"강동구","천호1동",등록외국인,283,2,8,6,4,15,34,33,40,30,18,35,27,17,9,3,2,0,0,0,0,0,294,3,8,8,3,17,33,35,41,34,19,36,30,14,8,3,2,-,-,-,-,-
"강동구","천호3동",계,26672,617,570,494,617,1400,3005,2979,2135,1952,1658,2046,1958,2247,1901,1184,908,609,269,96,17,10,26539,593,556,488,599,1347,3016,3018,2138,1947,1616,2023,1965,2196,1930,1164,925,626,264,102,18,8
