"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"강서구","소계",계,569978,13590,18290,20646,21593,30154,50895,54766,43708,46609,41197,44492,39276,43833,37324,25257,17908,11862,5826,2138,532,82,568826,13483,17986,20549,21438,29741,50487,54630,43626,46641,40788,44410,39794,43157,37716,25527,18175,11956,5914,2182,544,82
"강서구","소계",한국인,564339,13462,18144,20578,21495,29858,50240,53952,42934,46055,40764,44005,38751,43469,37147,25182,17884,11850,5821,2135,531,82,563058,13345,17844,20484,21333,29402,49776,53819,42835,46070,40350,43918,39261,42813,37545,25456,18150,11944,5909,2179,543,82
"강서구","소계",등록외국인,5639,128,146,68,98,296,655,814,774,554,433,487,525,364,177,75,24,12,5,3,1,0,5768,138,142,65,105,339,711,811,791,571,438,492,533,344,171,71,25,12,5,3,1,-
"강서구","염창동",계,41471,1462,2021,2269,2093,2209,3205,3815,3522,3851,3503,3450,2611,2629,1921,1263,764,540,238,84,19,2,41490,1462,1975,2278,2085,2201,3174,3770,3538,3888,3453,3485,2693,2580,1957,1275,773,552,245,86,19,1
"강서구","염창동",한국인,41326,1462,2020,2269,2090,2200,3169,3790,3502,3834,3493,3443,2602,2624,1920,1261,764,540,238,84,19,2,41359,1462,1974,2278,2084,2192,3146,3749,3516,3872,3443,3478,2684,2575,1957,1273,773,552,245,86,19,1
"강서구","염창동",등록외국인,145,0,1,0,3,9,36,25,20,17,10,7,9,5,1,2,0,0,0,0,0,0,131,-,1,-,1,9,28,21,22,16,10,7,9,5,-,2,-,-,-,-,-,-
"강서구","등촌1동",계,25121,695,573,504,640,1414,3413,3942,2757,2017,1476,1625,1438,1418,1082,683,541,426,301,140,27,9,25184,691,560,509,629,1395,3413,3935,2790,2004,1490,1662,1441,1411,1100,699,549,419,307,139,31,10
"강서구","등촌1동",한국인,24888,693,567,503,639,1398,3367,3896,2721,1996,1460,1611,1422,1416,1075,681,540,426,301,140,27,9,24934,689,554,508,627,1373,3358,3891,2753,1982,1473,1648,1425,1409,1093,697,548,419,307,139,31,10
"강서구","등촌1동",등록외국인,233,2,6,1,1,16,46,46,36,21,16,14,16,2,7,2,1,0,0,0,0,0,250,2,6,1,2,22,55,44,37,22,17,14,16,2,7,2,1,-,-,-,-,-
"강서구","등촌2동",계,19541,458,550,657,739,1073,1660,1894,1479,1494,1318,1525,1526,1661,1336,949,585,355,191,76,14,1,19481,444,536,666,737,1063,1668,1889,1465,1495,1310,1516,1507,1637,1343,956,602,366,192,71,17,1
"강서구","등촌2동",한국인,19417,457,547,657,737,1070,1644,1865,1461,1482,1310,1515,1517,1657,1330,946,585,355,191,76,14,1,19350,442,533,666,735,1060,1653,1860,1444,1481,1302,1506,1498,1633,1336,953,601,366,192,71,17,1
"강서구","등촌2동",등록외국인,124,1,3,0,2,3,16,29,18,12,8,10,9,4,6,3,0,0,0,0,0,0,131,2,3,-,2,3,15,29,21,14,8,10,9,4,7,3,1,-,-,-,-,-
"강서구","등촌3동",계,29726,667,808,752,909,1415,1928,2550,2115,1957,1686,2182,2366,3004,2620,1679,1232,926,609,249,65,7,29576,648,776,748,896,1375,1895,2521,2116,1987,1654,2149,2358,2951,2677,1707,1246,936,613,249,67,7
"강서구","등촌3동",한국인,29554,662,802,749,906,1409,1907,2527,2081,1942,1674,2169,2352,2995,2614,1678,1232,925,609,249,65,7,29407,643,770,746,893,1366,1873,2502,2084,1972,1642,2137,2342,2943,2671,1706,1246,935,613,249,67,7
"강서구","등촌3동",등록외국인,172,5,6,3,3,6,21,23,34,15,12,13,14,9,6,1,0,1,0,0,0,0,169,5,6,2,3,9,22,19,32,15,12,12,16,8,6,1,-,1,-,-,-,-
"강서구","화곡본동",계,33523,604,906,1088,1138,1908,3754,3782,2537,2787,2414,2599,2227,2439,2032,1347,989,586,261,97,20,8,33346,570,869,1078,1113,1873,3751,3735,2500,2765,2403,2566,2282,2411,2074,1358,1002,601,273,95,19,8
"강서구","화곡본동",한국인,33130,598,894,1083,1133,1882,3697,3695,2489,2745,2388,2580,2201,2420,2025,1342,987,585,261,97,20,8,32953,562,858,1074,1108,1850,3692,3650,2452,2722,2378,2544,2254,2393,2067,1354,1000,600,273,95,19,8
"강서구","화곡본동",등록외국인,393,6,12,5,5,26,57,87,48,42,26,19,26,19,7,5,2,1,0,0,0,0,393,8,11,4,5,23,59,85,48,43,25,22,28,18,7,4,2,1,-,-,-,-
"강서구","화곡2동",계,17489,331,551,623,668,983,1443,1474,1239,1471,1378,1520,1307,1366,1183,816,589,350,141,40,15,1,17358,316,534,629,661,942,1424,1471,1207,1464,1347,1523,1330,1336,1190,818,595,362,153,40,15,1
"강서구","화곡2동",한국인,17198,314,537,614,665,978,1424,1436,1202,1437,1359,1490,1267,1347,1180,814,589,349,140,40,15,1,17053,299,519,618,656,933,1400,1430,1172,1429,1331,1492,1288,1319,1186,817,595,361,152,40,15,1
"강서구","화곡2동",등록외국인,291,17,14,9,3,5,19,38,37,34,19,30,40,19,3,2,0,1,1,0,0,0,305,17,15,11,5,9,24,41,35,35,16,31,42,17,4,1,-,1,1,-,-,-
"강서구","화곡3동",계,21394,408,616,755,825,1179,1882,1779,1416,1581,1535,1662,1520,1758,1692,1163,810,517,195,82,16,3,21261,399,598,753,824,1139,1866,1745,1396,1582,1517,1643,1554,1713,1712,1173,812,519,209,88,16,3
