"동별(1)","동별(2)",항목,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"동작구","소계",계,389714,8579,11742,12566,14203,28494,40128,34359,27206,29034,26584,30946,27770,27629,23737,16905,13614,9602,4684,1510,364,58
"동작구","소계",한국인,378769,8463,11608,12472,13522,25531,38194,33403,26463,28478,26143,30329,26982,27092,23490,16822,13593,9589,4670,1507,363,55
"동작구","소계",등록외국인,10945,116,134,94,681,2963,1934,956,743,556,441,617,788,537,247,83,21,13,14,3,1,3
"동작구","노량진2동",계,11075,99,124,161,225,684,1573,1280,782,702,573,779,830,973,770,568,426,300,157,52,16,1
"동작구","노량진2동",한국인,10186,82,116,152,206,573,1417,1162,676,637,527,723,745,913,747,564,425,297,155,52,16,1
"동작구","노량진2동",등록외국인,889,17,8,9,19,111,156,118,106,65,46,56,85,60,23,4,1,3,2,-,-,-
"동작구","상도1동",계,46451,874,1261,1390,1965,6376,5450,3455,2666,2949,2890,3410,3115,2950,2607,1772,1515,1019,560,175,42,10
"동작구","상도1동",한국인,44194,860,1249,1388,1712,5360,4892,3281,2580,2907,2867,3395,3089,2934,2599,1766,1514,1018,559,174,42,8
"동작구","상도1동",등록외국인,2257,14,12,2,253,1016,558,174,86,42,23,15,26,16,8,6,1,1,1,1,-,2
"동작구","상도2동",계,27822,943,1200,1137,922,1713,2389,2195,2265,2471,2086,2198,1937,1822,1539,1087,850,582,346,112,24,4
"동작구","상도2동",한국인,27493,939,1197,1134,899,1647,2323,2164,2244,2451,2070,2177,1909,1809,1531,1085,847,581,346,112,24,4
"동작구","상도2동",등록외국인,329,4,3,3,23,66,66,31,21,20,16,21,28,13,8,2,3,1,-,-,-,-
"동작구","상도3동",계,24297,373,510,643,796,1495,2687,2291,1662,1703,1594,1946,1845,1899,1588,1167,956,725,320,70,24,3
"동작구","상도3동",한국인,23930,368,494,635,788,1453,2642,2248,1613,1667,1565,1926,1814,1878,1584,1158,956,725,319,70,24,3
"동작구","상도3동",등록외국인,367,5,16,8,8,42,45,43,49,36,29,20,31,21,4,9,-,-,1,-,-,-
"동작구","상도4동",계,28051,522,676,850,919,1579,2722,2613,2001,2063,1869,2241,2182,2210,1875,1355,1094,788,355,113,22,2
"동작구","상도4동",한국인,27688,514,667,843,905,1521,2683,2571,1970,2044,1851,2205,2147,2187,1860,1350,1092,787,354,113,22,2
"동작구","상도4동",등록외국인,363,8,9,7,14,58,39,42,31,19,18,36,35,23,15,5,2,1,1,-,-,-
"동작구","사당1동",계,23008,288,329,333,471,1505,3749,3026,1846,1573,1323,1464,1455,1624,1398,1048,823,478,200,60,10,5
"동작구","사당1동",한국인,22519,279,324,329,459,1446,3672,2968,1800,1548,1297,1419,1397,1586,1377,1047,822,476,198,60,10,5
"동작구","사당1동",등록외국인,489,9,5,4,12,59,77,58,46,25,26,45,58,38,21,1,1,2,2,-,-,-
"동작구","사당3동",계,23940,675,1055,849,748,1232,1844,1867,1782,2057,1610,1837,1684,1829,1653,1232,999,637,260,68,19,3
"동작구","사당3동",한국인,23695,674,1052,846,728,1183,1808,1841,1766,2045,1591,1820,1663,1817,1649,1228,999,637,259,68,18,3
"동작구","사당3동",등록외국인,245,1,3,3,20,49,36,26,16,12,19,17,21,12,4,4,-,-,1,-,1,-
"동작구","사당4동",계,14007,240,314,281,407,773,1616,1409,1009,1020,920,1043,975,1082,986,720,576,410,146,58,20,2
"동작구","사당4동",한국인,13824,240,313,281,394,750,1582,1391,989,1011,906,1023,964,1069,982,717,576,410,146,58,20,2
"동작구","사당4동",등록외국인,183,-,1,-,13,23,34,18,20,9,14,20,11,13,4,3,-,-,-,-,-,-
"동작구","사당5동",계,14269,417,427,427,478,802,1234,1391,1164,1156,1026,1094,1063,1050,866,665,461,316,165,49,14,4
"동작구","사당5동",한국인,14149,414,427,426,476,779,1223,1375,1148,1147,1016,1086,1055,1042,862,664,461,316,165,49,14,4
"동작구","사당5동",등록외국인,120,3,-,1,2,23,11,16,16,9,10,8,8,8,4,1,-,-,-,-,-,-
"동작구","대방동",계,35989,560,1071,1669,1895,2564,3629,2939,2087,2693,2947,3335,2451,2305,1901,1434,1096,777,437,155,39,5
"동작구","대방동",한국인,35638,557,1066,1661,1890,2520,3576,2895,2052,2660,2922,3298,2420,2286,1899,1431,1095,777,434,155,39,5
"동작구","대방동",등록외국인,351,3,5,8,5,44,53,44,35,33,25,37,31,19,2,3,1,-,3,-,-,-
"동작구","신대방1동",계,25100,528,834,1082,1209,1479,1970,1822,1564,1866,2053,2397,2035,1919,1580,1034,783,558,272,95,19,1
"동작구","신대방1동",한국인,23297,497,781,1053,1181,1426,1910,1692,1404,1717,1897,2140,1728,1685,1472,997,777,555,270,95,19,1
"동작구","신대방1동",등록외국인,1803,31,53,29,28,53,60,130,160,149,156,257,307,234,108,37,6,3,2,-,-,-
"동작구","신대방2동",계,22281,635,820,886,889,1290,2409,2192,1646,1833,1581,1770,1418,1345,1154,822,726,521,259,65,16,4
"동작구","신대방2동",한국인,22023,632,817,882,880,1252,2372,2171,1624,1803,1569,1754,1389,1327,1141,820,726,521,259,64,16,4
"동작구","신대방2동",등록외국인,258,3,3,4,9,38,37,21,22,30,12,16,29,18,13,2,-,-,-,1,-,-
"동작구","흑석동",계,32231,908,1364,1170,1284,3309,2951,2195,2068,2545,2151,2637,2346,2105,1695,1188,950,774,393,158,38,2
"동작구","흑석동",한국인,29961,899,1360,1163,1087,2149,2371,2056,2004,2516,2139,2619,2328,2088,1689,1185,946,773,392,158,38,1
"동작구","흑석동",등록외국인,2270,9,4,7,197,1160,580,139,64,29,12,18,18,17,6,3,4,1,1,-,-,1
"동작구","노량진1동",계,32715,742,810,869,1054,2227,3854,3329,2560,2200,1930,2347,2273,2359,2100,1379,1138,884,464,158,33,5
"동작구","노량진1동",한국인,32022,739,803,863,984,2031,3695,3255,2518,2159,1916,2329,2244,2336,2092,1377,1137,884,464,158,33,5
"동작구","노량진1동",등록외국인,693,3,7,6,70,196,159,74,42,41,14,18,29,23,8,2,1,-,-,-,-,-
"동작구","사당2동",계,28478,775,947,819,941,1466,2051,2355,2104,2203,2031,2448,2161,2157,2025,1434,1221,833,350,122,28,7
