"동별(1)","동별(2)",항목,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"성동구","소계",계,284766,7972,9135,8410,9906,19102,25407,24660,22239,22558,19071,23558,21719,21567,17347,11410,9073,6899,3429,1038,217,49
"성동구","소계",한국인,277361,7856,9037,8340,9511,17016,23963,23946,21718,22162,18764,23174,21275,21339,17239,11350,9057,6892,3425,1036,217,44
"성동구","소계",등록외국인,7405,116,98,70,395,2086,1444,714,521,396,307,384,444,228,108,60,16,7,4,2,-,5
"성동구","왕십리2동",계,16481,542,530,486,580,974,1404,1480,1395,1316,1071,1403,1255,1278,970,683,500,355,179,67,12,1
"성동구","왕십리2동",한국인,16095,530,523,485,575,856,1330,1441,1368,1283,1054,1389,1232,1272,966,680,497,355,179,67,12,1
"성동구","왕십리2동",등록외국인,386,12,7,1,5,118,74,39,27,33,17,14,23,6,4,3,3,-,-,-,-,-
"성동구","마장동",계,22233,463,527,611,854,1932,2419,1897,1367,1371,1326,1794,1734,1753,1460,970,750,609,285,90,20,1
"성동구","마장동",한국인,21573,452,515,600,820,1766,2298,1837,1324,1331,1298,1751,1674,1736,1451,966,749,609,285,90,20,1
"성동구","마장동",등록외국인,660,11,12,11,34,166,121,60,43,40,28,43,60,17,9,4,1,-,-,-,-,-
"성동구","사근동",계,14141,151,188,179,693,3632,2969,1217,620,565,515,705,606,548,445,350,327,273,132,20,5,1
"성동구","사근동",한국인,11947,140,185,176,486,2553,2374,1051,561,541,500,688,599,545,443,348,327,273,132,20,5,-
"성동구","사근동",등록외국인,2194,11,3,3,207,1079,595,166,59,24,15,17,7,3,2,2,-,-,-,-,-,1
"성동구","행당1동",계,13984,383,471,439,550,1000,1318,1211,1069,1086,1002,1138,1067,963,789,518,415,336,156,52,12,9
"성동구","행당1동",한국인,13685,382,466,435,545,913,1257,1173,1047,1072,986,1130,1048,949,785,517,415,336,156,52,12,9
"성동구","행당1동",등록외국인,299,1,5,4,5,87,61,38,22,14,16,8,19,14,4,1,-,-,-,-,-,-
"성동구","행당2동",계,22933,709,851,866,1012,1207,1404,1662,1778,1826,1770,2161,1822,1692,1376,973,830,599,289,80,21,5
"성동구","행당2동",한국인,22851,709,850,866,1010,1194,1387,1659,1767,1822,1758,2151,1820,1687,1376,973,830,598,289,80,21,4
"성동구","행당2동",등록외국인,82,-,1,-,2,13,17,3,11,4,12,10,2,5,-,-,-,1,-,-,-,1
"성동구","응봉동",계,15000,397,583,729,755,790,885,1032,1012,1313,1311,1434,1083,1025,847,581,524,417,214,59,8,1
"성동구","응봉동",한국인,14941,397,580,728,755,783,881,1025,1008,1305,1302,1431,1077,1021,846,579,524,417,214,59,8,1
"성동구","응봉동",등록외국인,59,-,3,1,-,7,4,7,4,8,9,3,6,4,1,2,-,-,-,-,-,-
"성동구","금호1가동",계,14841,493,582,510,527,649,893,1060,1276,1408,1087,1239,1092,1179,1011,669,513,352,224,60,16,1
"성동구","금호1가동",한국인,14745,490,581,507,526,646,876,1048,1266,1397,1079,1232,1088,1169,1009,667,511,352,224,60,16,1
"성동구","금호1가동",등록외국인,96,3,1,3,1,3,17,12,10,11,8,7,4,10,2,2,2,-,-,-,-,-
"성동구","금호4가동",계,14284,561,625,497,447,526,825,1064,1269,1531,1109,1161,987,1026,950,591,509,333,203,56,11,3
"성동구","금호4가동",한국인,14154,561,624,496,434,516,798,1050,1260,1517,1102,1149,979,1020,944,591,508,333,203,55,11,3
"성동구","금호4가동",등록외국인,130,-,1,1,13,10,27,14,9,14,7,12,8,6,6,-,1,-,-,1,-,-
"성동구","성수1가1동",계,15681,404,424,418,498,910,1345,1611,1312,1144,923,1385,1409,1428,1022,542,406,295,150,41,11,3
"성동구","성수1가1동",한국인,15392,396,420,412,493,884,1311,1572,1267,1114,901,1355,1390,1417,1019,537,406,295,149,41,11,2
"성동구","성수1가1동",등록외국인,289,8,4,6,5,26,34,39,45,30,22,30,19,11,3,5,-,-,1,-,-,1
"성동구","성수1가2동",계,12134,292,316,343,404,683,1123,1287,1086,897,853,990,891,912,737,484,376,282,127,43,7,1
"성동구","성수1가2동",한국인,11943,289,311,341,398,661,1100,1259,1058,880,842,973,875,904,736,482,375,282,127,43,7,-
"성동구","성수1가2동",등록외국인,191,3,5,2,6,22,23,28,28,17,11,17,16,8,1,2,1,-,-,-,-,1
"성동구","성수2가1동",계,15079,293,305,335,409,726,1208,1390,1130,1023,939,1291,1400,1580,1192,734,512,374,172,55,9,2
"성동구","성수2가1동",한국인,14605,282,299,330,388,691,1175,1342,1085,987,904,1234,1325,1548,1168,727,509,374,172,55,9,1
"성동구","성수2가1동",등록외국인,474,11,6,5,21,35,33,48,45,36,35,57,75,32,24,7,3,-,-,-,-,1
"성동구","성수2가3동",계,10312,213,239,233,273,592,1154,1101,787,747,611,810,813,859,623,454,353,260,147,36,5,2
"성동구","성수2가3동",한국인,10047,212,239,230,263,520,1114,1072,765,730,598,793,795,844,619,450,353,260,147,36,5,2
"성동구","성수2가3동",등록외국인,265,1,-,3,10,72,40,29,22,17,13,17,18,15,4,4,-,-,-,-,-,-
"성동구","송정동",계,10131,167,218,216,301,592,1002,956,658,726,633,862,905,965,754,452,345,231,107,30,10,1
"성동구","송정동",한국인,9720,157,214,215,271,512,931,913,634,706,608,833,872,948,743,442,342,231,107,30,10,1
"성동구","송정동",등록외국인,411,10,4,1,30,80,71,43,24,20,25,29,33,17,11,10,3,-,-,-,-,-
"성동구","용답동",계,13013,138,184,224,360,1144,2015,1404,785,707,767,1002,1040,936,752,513,452,357,175,45,11,2
"성동구","용답동",한국인,12039,120,161,210,330,870,1807,1327,732,671,737,941,961,896,730,506,452,355,175,45,11,2
"성동구","용답동",등록외국인,974,18,23,14,30,274,208,77,53,36,30,61,79,40,22,7,-,2,-,-,-,-
"성동구","왕십리도선동",계,26739,897,1104,887,763,1685,2544,2342,2199,2277,1682,2289,2092,1894,1402,948,720,591,296,104,19,4
"성동구","왕십리도선동",한국인,26269,883,1094,883,746,1609,2458,2284,2147,2236,1659,2261,2060,1874,1397,945,720,591,295,104,19,4
"성동구","왕십리도선동",등록외국인,470,14,10,4,17,76,86,58,52,41,23,28,32,20,5,3,-,-,1,-,-,-
"성동구","금호2.3가동",계,22130,777,770,589,707,1037,1458,1816,2013,1979,1622,1888,1680,1687,1402,943,765,616,262,97,14,8
"성동구","금호2.3가동",한국인,21953,774,766,586,706,1027,1438,1792,1986,1961,1613,1871,1659,1675,1397,941,765,615,262,97,14,8
"성동구","금호2.3가동",등록외국인,177,3,4,3,1,10,20,24,27,18,9,17,21,12,5,2,-,1,-,-,-,-
"성동구","옥수동",계,25650,1092,1218,848,773,1023,1441,2130,2483,2642,1850,2006,1843,1842,1615,1005,776,619,311,103,26,4
"성동구","옥수동",한국인,25402,1082,1209,840,765,1015,1428,2101,2443,2609,1823,1992,1821,1834,1610,999,774,616,309,102,26,4
"성동구","옥수동",등록외국인,248,10,9,8,8,8,13,29,40,33,27,14,22,8,5,6,2,3,2,1,-,-
