"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"은평구","소계",계,471155,10338,14500,17006,18984,26143,36705,36219,31039,36513,35028,41754,36283,37823,31309,22025,17601,13364,6255,1822,384,60,470869,10219,14227,16871,18865,26041,36504,36562,30883,36484,34500,41748,36756,37392,31812,22102,17815,13369,6406,1855,401,57
"은평구","소계",한국인,467098,10256,14413,16940,18863,25874,36253,35687,30490,36080,34727,41428,35944,37583,31172,21968,17570,13348,6242,1818,382,60,466770,10135,14139,16807,18732,25747,36048,36022,30331,36047,34194,41421,36416,37166,31678,22049,17786,13352,6393,1851,399,57
"은평구","소계",등록외국인,4057,82,87,66,121,269,452,532,549,433,301,326,339,240,137,57,31,16,13,4,2,0,4099,84,88,64,133,294,456,540,552,437,306,327,340,226,134,53,29,17,13,4,2,-
"은평구","녹번동",계,36563,1003,1152,1037,1100,1842,2768,3019,2751,3033,2458,3077,2756,2991,2486,1812,1439,1137,489,166,43,4,36511,993,1140,1044,1075,1833,2723,3096,2687,3041,2397,3060,2811,2970,2508,1831,1458,1126,513,159,43,3
"은평구","녹번동",한국인,36175,991,1146,1028,1093,1820,2729,2974,2690,3002,2435,3049,2726,2958,2468,1802,1433,1133,488,164,42,4,36111,981,1133,1035,1066,1813,2680,3051,2626,3006,2374,3033,2778,2937,2488,1822,1452,1122,512,157,42,3
"은평구","녹번동",등록외국인,388,12,6,9,7,22,39,45,61,31,23,28,30,33,18,10,6,4,1,2,1,0,400,12,7,9,9,20,43,45,61,35,23,27,33,33,20,9,6,4,1,2,1,-
"은평구","불광1동",계,37826,855,1024,1129,1270,1913,2868,2880,2419,2759,2650,3395,3084,3374,2653,1886,1553,1253,635,187,35,4,37694,842,996,1126,1267,1857,2823,2902,2391,2748,2611,3354,3131,3311,2727,1897,1574,1266,638,190,39,4
"은평구","불광1동",한국인,37570,852,1022,1125,1268,1906,2852,2838,2380,2735,2631,3361,3062,3356,2638,1882,1549,1253,635,186,35,4,37439,840,995,1122,1264,1847,2802,2865,2354,2726,2590,3319,3110,3293,2713,1893,1570,1266,638,189,39,4
"은평구","불광1동",등록외국인,256,3,2,4,2,7,16,42,39,24,19,34,22,18,15,4,4,0,0,1,0,0,255,2,1,4,3,10,21,37,37,22,21,35,21,18,14,4,4,-,-,1,-,-
