"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"종로구","소계",계,151127,2556,3880,4783,5803,12793,14590,11692,9274,10415,10152,12974,11837,11768,9375,6277,5300,4373,2286,760,200,39,150453,2543,3791,4734,5790,12649,14520,11751,9166,10461,9899,12892,11891,11602,9511,6277,5309,4342,2324,764,202,35
"종로구","소계",한국인,139945,2370,3658,4569,5314,9259,12394,10793,8531,9711,9636,12467,11441,11476,9209,6213,5274,4359,2277,756,199,39,139417,2342,3577,4540,5199,9113,12383,10882,8440,9783,9411,12414,11501,11332,9357,6218,5285,4328,2316,760,201,35
"종로구","소계",등록외국인,11182,186,222,214,489,3534,2196,899,743,704,516,507,396,292,166,64,26,14,9,4,1,0,11036,201,214,194,591,3536,2137,869,726,678,488,478,390,270,154,59,24,14,8,4,1,-
"종로구","사직동",계,9326,178,310,313,356,420,666,811,685,733,750,815,696,727,572,369,329,302,200,70,19,5,9273,184,292,317,357,425,660,818,656,747,733,816,701,698,577,357,335,305,201,67,22,5
"종로구","사직동",한국인,9042,168,305,303,352,410,647,787,649,695,712,791,679,703,556,365,328,300,199,69,19,5,8998,174,288,309,352,407,637,790,623,712,697,794,684,679,567,355,334,303,200,66,22,5
"종로구","사직동",등록외국인,284,10,5,10,4,10,19,24,36,38,38,24,17,24,16,4,1,2,1,1,0,0,275,10,4,8,5,18,23,28,33,35,36,22,17,19,10,2,1,2,1,1,-,-
"종로구","삼청동",계,2495,36,72,105,95,102,153,161,157,228,176,183,184,216,190,140,119,91,58,23,4,2,2457,34,73,100,94,93,154,152,162,228,161,181,186,207,191,143,118,91,57,26,4,2
"종로구","삼청동",한국인,2252,30,56,82,79,98,147,149,136,180,141,176,173,207,174,131,117,91,56,23,4,2,2248,28,58,81,82,90,148,140,142,186,131,175,176,203,179,134,117,91,55,26,4,2
"종로구","삼청동",등록외국인,243,6,16,23,16,4,6,12,21,48,35,7,11,9,16,9,2,0,2,0,0,0,209,6,15,19,12,3,6,12,20,42,30,6,10,4,12,9,1,-,2,-,-,-
"종로구","부암동",계,9443,117,268,393,458,581,681,667,592,710,737,860,791,729,613,391,354,275,146,57,19,4,9389,118,263,376,442,546,700,688,581,711,711,864,784,726,624,398,348,274,157,54,21,3
"종로구","부암동",한국인,9136,117,268,393,455,522,600,607,551,682,728,852,783,725,609,390,353,275,146,57,19,4,9085,118,263,376,439,489,613,631,541,686,701,856,777,722,620,397,347,274,157,54,21,3
